, 31696
39392, 31600
39364, 31584
39340, 31564
39316, 31564
39296, 31560
39276, 31556
39284, 31572
39268, 31532
39264, 31552
39232, 31536
39244, 31552
39244, 31556
39240, 31536
39224, 31536
39248, 31544
39216, 31532
39204, 31532
39208, 31524
39208, 31508
39200, 31500
39188, 31520
39188, 31536
39196, 31516
39192, 31544
39204, 31524
39224, 31512
39220, 31532
39212, 31520
39216, 31524
39228, 31532
39212, 31532
39196, 31528
39208, 31544
39204, 31508
39216, 31512
39204, 31516
39220, 31540
39232, 31556
39236, 31548
39244, 31536
39248, 31552
39248, 31548
39260, 31572
39252, 31568
39260, 31548
39268, 31548
39280, 31564
39252, 31556
39280, 31572
39280, 31540
39280, 31568
39276, 31560
39276, 31564
39276, 31548
39284, 31548
39292, 31552
39300, 31548
39288, 31556
39312, 31572
39312, 31576
39300, 31580
39300, 31572
39332, 31572
39348, 31568
39336, 31600
39332, 31576
39328, 31588
39344, 31592
39352, 31592
39352, 31580
39376, 31608
39348, 31592
39388, 31608
39384, 31604
39392, 31612
39392, 31600
39416, 31592
39404, 31612
39412, 31612
39396, 31624
39380, 31600
39348, 31584
39336, 31568
39304, 31568
39284, 31572
39276, 31576
39312, 31572
39288, 31564
39284, 31584
39276, 31572
39276, 31556
39288, 31568
39292, 31552
39268, 31540
39264, 31552
39276, 31552
39244, 31536
39224, 31524
39232, 31516
39196, 31548
39224, 31564
39248, 31560
39260, 31572
39272, 31544
39280, 31580
39284, 31580
39252, 31548
39276, 31544
39264, 31548
39264, 31544
39272, 31536
39256, 31528
39256, 31544
39260, 31548
39284, 31560
39276, 31560
39268, 31580
39276, 31572
39308, 31556
39288, 31560
39288, 31568
39288, 31552
39280, 31568
39276, 31564
39284, 31564
39280, 31568
39308, 31548
39300, 31548
39312, 31572
39300, 31556
39316, 31552
39324, 31580
39304, 31568
39316, 31556
39332, 31564
39316, 31556
39332, 31552
39352, 31548
39344, 31564
39360, 31576
39364, 31580
39344, 31580
39344, 31584
39368, 31588
39388, 31604
39392, 31580
39400, 31600
39392, 31596
39400, 31584
39420, 31576
39412, 31588
39416, 31600
39412, 31592
39416, 31608
39412, 31600
39428, 31604
39424, 31600
39424, 31580
39392, 31560
39340, 31556
39336, 31548
39320, 31552
39316, 31544
39316, 31548
39276, 31536
39288, 31532
39300, 31556
39288, 31540
39276, 31528
39292, 31524
39296, 31504
39280, 31504
39276, 31524
39276, 31484
39260, 31508
39240, 31504
39248, 31488
39256, 31500
39244, 31496
39252, 31504
39252, 31508
39272, 31500
39244, 31504
39260, 31504
39256, 31508
39248, 31512
39260, 31496
39252, 31484
39248, 31480
39248, 31484
39256, 31488
39244, 31516
39224, 31496
39232, 31512
39248, 31508
39256, 31516
39248, 31492
39264, 31508
39272, 31512
39272, 31516
39284, 31504
39304, 31504
39288, 31508
39284, 31516
39300, 31508
39288, 31528
39300, 31504
39308, 31532
39328, 31520
39320, 31528
39328, 31524
39324, 31536
39348, 31528
39324, 31512
39324, 31536
39344, 31524
39324, 31540
39348, 31544
39336, 31552
39356, 31548
39360, 31540
39372, 31568
39384, 31544
39376, 31556
39388, 31556
39392, 31552
39376, 31560
39404, 31556
39376, 31548
39372, 31516
39332, 31520
39300, 31508
39284, 31488
39264, 31484
39252, 31484
39272, 31484
39248, 31488
39260, 31496
39252, 31480
39240, 31484
39216, 31480
39228, 31488
39220, 31472
39240, 31484
39232, 31468
39248, 31460
39228, 31480
39232, 31476
39212, 31472
39224, 31476
39208, 31492
39208, 31476
39196, 31496
39232, 31480
39224, 31476
39240, 31500
39220, 31472
39220, 31480
39224, 31480
39232, 31464
39220, 31468
39212, 31484
39228, 31468
39248, 31468
39224, 31480
39228, 31472
39224, 31476
39228, 31488
39216, 31464
39256, 31480
39232, 31480
39252, 31484
39228, 31488
39240, 31476
39264, 31484
39264, 31460
39240, 31472
39272, 31488
39280, 31476
39300, 31484
39296, 31468
39296, 31464
39280, 31484
39304, 31472
39296, 31468
39292, 31496
39292, 31496
39304, 31488
39320, 31488
39340, 31496
