, 31696
38916, 30948
38916, 30964
38896, 30948
38876, 30952
38888, 30956
38856, 30936
38872, 30932
38880, 30944
38860, 30952
38868, 30936
38888, 30924
38864, 30932
38880, 30944
38856, 30948
38876, 30956
38872, 30964
38864, 30952
38896, 30964
38896, 30964
38884, 30940
38876, 30944
38880, 30940
38868, 30936
38872, 30936
38868, 30944
38872, 30956
38876, 30956
38868, 30948
38868, 30948
38884, 30960
38876, 30956
38884, 30956
38868, 30960
38876, 30968
38892, 30968
38904, 30976
38908, 30952
38908, 30956
38896, 30952
38896, 30960
38912, 30952
38896, 30948
38908, 30964
38924, 30980
38916, 30956
38916, 30972
38928, 30972
38912, 30984
38928, 30996
38928, 30984
38948, 31000
38940, 31000
38952, 31024
38956, 31016
38960, 31008
38960, 31016
38984, 31028
38992, 31012
39000, 31040
38980, 31016
39008, 31036
39016, 31028
39020, 31052
39040, 31044
39036, 31068
39020, 31052
39048, 31032
39052, 31048
39056, 31044
39068, 31040
39056, 31060
39064, 31068
39060, 31084
39072, 31072
39112, 31104
39096, 31088
39088, 31104
39116, 31124
39128, 31084
39132, 31092
39144, 31120
39120, 31084
39124, 31088
39096, 31076
39056, 31056
39020, 31024
38992, 31032
38964, 31024
38948, 31032
38956, 31004
38956, 31000
38948, 31000
38944, 31008
38936, 31000
38948, 31016
38952, 30988
38936, 31008
38920, 30972
38912, 30992
38912, 30996
38916, 30984
38908, 30960
38904, 30996
38896, 30988
38904, 30988
38884, 30984
38888, 30976
38884, 30988
38896, 31008
38896, 30980
38892, 30996
38888, 30972
38896, 30988
38896, 30976
38888, 30984
38892, 30988
38888, 30980
38884, 30988
38884, 31000
38888, 30988
38892, 31000
38892, 31012
38876, 31004
38884, 31000
38904, 30980
38896, 30996
38920, 31004
38900, 31008
38908, 31000
38892, 31008
38896, 31000
38892, 31000
38904, 31004
38904, 31004
38916, 31016
38916, 31008
38912, 31024
38912, 31000
38920, 31016
38928, 31000
38944, 31012
38936, 31028
38932, 31040
38940, 31040
38936, 31036
38976, 31036
38952, 31032
38956, 31032
38992, 31036
38972, 31040
38996, 31036
38980, 31040
38976, 31064
38988, 31040
39000, 31056
39000, 31044
39016, 31072
39004, 31068
39024, 31064
39044, 31064
39028, 31080
39044, 31060
39040, 31084
39064, 31092
39076, 31084
39072, 31096
39096, 31108
39104, 31084
39112, 31080
39112, 31092
39120, 31104
39116, 31100
39100, 31096
39076, 31048
39028, 31044
39000, 31036
38980, 31020
38968, 31000
38948, 31016
38944, 31008
38976, 31008
38944, 31008
38924, 31004
38932, 31004
38948, 31004
38928, 31008
38924, 30992
38916, 31008
38924, 31020
38900, 30988
38912, 30984
38904, 30980
38920, 30996
38888, 30988
38876, 30996
38900, 30988
38888, 30992
38892, 31008
38904, 30996
38884, 31000
38888, 30996
38880, 30984
38896, 30996
38884, 30988
38900, 30992
38872, 30968
38880, 31000
38860, 30976
38864, 30976
38856, 30984
38880, 30980
38876, 31000
38876, 30992
38872, 31004
38888, 30992
38888, 30996
38888, 30988
38908, 30992
38908, 30984
38896, 31004
38896, 31008
38920, 30980
38924, 31020
38900, 31000
38924, 31008
38952, 31024
38968, 31020
38940, 31028
38952, 31028
38956, 31012
38952, 31028
38952, 31036
38976, 31036
38976, 31008
39004, 31020
38980, 31040
39016, 31060
39004, 31052
39016, 31064
39036, 31056
39032, 31064
39036, 31044
39056, 31072
39036, 31052
39060, 31060
39064, 31044
39080, 31076
39072, 31076
39084, 31068
39108, 31068
39072, 31068
39092, 31060
39060, 31076
39036, 31052
39032, 31024
38980, 31000
38948, 31012
38924, 30996
38924, 30992
38904, 30976
38896, 30996
38916, 30972
38900, 30980
38904, 30960
38876, 30976
38872, 30952
38888, 30968
38868, 30948
38864, 30952
38864, 30964
38848, 30948
38832, 30948
38832, 30944
38852, 30940
38840, 30960
38816, 30944
38832, 30940
38840, 30940
38832, 30940
38844, 30936
38844, 30956
38840, 30956
38856, 30944
38836, 30936
38848, 30956
38836, 30932
38844, 30952
38876, 30936
38820, 30968
38844, 30944
38816, 30956
38844, 30944
38852, 30952
38852, 30976
38860, 30972
38868, 30972
38880, 30968
38876, 30976
38880, 30992
38880, 30992
38912, 30976
38912, 30976
38896, 30976
38924, 30964
38896, 30988
38924, 30984
38932, 31008
38952, 31008
38952, 31008
38956, 31016
38968, 31020
38960, 31000
38968, 31028
38976, 31008
38984, 31028
39008, 31028
38996, 31060
39024, 31040
39028, 31072
39040, 31044
39032, 31040
39060, 31032
39060, 31084
39092, 31072
39100, 31060
39068, 31084
39104, 31080
39128, 31060
39124, 31088
39132, 31076
39140, 31104
39120, 31096
39144, 31104
39180, 31104
39180, 31112
39188, 31104
39184, 31116
39208, 31120
39216, 31140
39192, 31116
39180, 31088
39156, 31072
39096, 31068
39096, 31044
39060, 31064
39028, 31028
39012, 31028
39004, 31008
39016, 31016
38984, 30988
39000, 31024
38996, 31004
38964, 31016
38988, 31004
38976, 31000
38928, 30976
38964, 31000
38944, 31000
38948, 31004
38928, 30968
38932, 31000
38920, 30980
38920, 30996
38908, 30992
38944, 31020
38920, 30992
38912, 30996
38924, 30976
38928, 31016
38944, 30980
38932, 30988
38928, 30992
38912, 31004
38908, 30976
38916, 31004
38904, 31000
38936, 30992
38916, 31000
38928, 31000
38892, 30980
38912, 31000
38924, 31008
38912, 30992
38932, 31000
38952, 31008
38928, 31020
38956, 31004
38944, 31016
38920, 31016
38940, 31016
38964, 31020
38948, 31032
38976, 31028
38992, 31044
38972, 31036
38976, 31028
38988, 31032
38988, 31036
38980, 31036
38988, 31032
39008, 31052
39020, 31048
39012, 31056
39004, 31052
39032, 31068
39032, 31048
39024, 31056
39040, 31072
39076, 31076
39056, 31088
39080, 31084
39076, 31076
39108, 31104
39092, 31072
39116, 31100
39108, 31084
39120, 31112
39132, 31088
39116, 31096
39128, 31112
39132, 31100
39132, 31116
39164, 31108
39164, 31084
39164, 31100
39160, 31100
39168, 31136
39168, 31116
39180, 31112
39152, 31096
39116, 31092
39068, 31052
39068, 31052
38996, 31024
39008, 31024
38968, 31012
38968, 30992
38940, 30992
38944, 31016
38940, 30988
38916, 30992
38928, 31020
38932, 30988
38932, 30976
38932, 30960
38932, 30988
38888, 30988
38896, 30972
38892, 30988
38872, 30944
38880, 30984
38864, 30968
38876, 30960
38880, 30976
38884, 30948
38896, 30952
38864, 30968
38892, 30964
38880, 30972
38868, 30956
38864, 30956
38856, 30964
38864, 30968
38844, 30956
38884, 30968
38856, 30952
38876, 30964
38880, 30968
38880, 30968
38876, 30952
38892, 30984
38884, 30964
38904, 30984
38908, 30968
38908, 30980
38904, 30972
38924, 30976
38916, 30980
38924, 30992
38924, 31000
38948, 30988
38920, 30988
38924, 31008
38948, 31000
38972, 31012
38952, 30996
38984, 31016
38984, 30996
39000, 31016
38988, 31016
39000, 31028
39012, 31016
39020, 31048
39020, 31036
39048, 31044
39036, 31040
39056, 31048
39048, 31072
39064, 31068
39060, 31044
39080, 31076
39096, 31076
39120, 31076
39096, 31080
39112, 31096
39128, 31072
39132, 31072
39116, 31076
39128, 31076
39080, 31060
39048, 31044
39032, 31012
38996, 30996
38956, 31012
38976, 31000
38916, 30984
38936, 30976
38908, 30976
38908, 30992
38880, 30972
38896, 30996
38908, 30968
38896, 30988
38892, 30992
38884, 30972
38876, 30976
38872, 30988
38844, 30952
38844, 30960
38840, 30964
38832, 30960
38836, 30976
38848, 30980
38848, 30968
38852, 30968
38840, 30976
38844, 30972
38828, 30980
38852, 30980
38836, 30960
38840, 30968
38820, 30968
38848, 30980
38844, 30968
38824, 30960
38824, 30956
38836, 30972
38852, 30972
38852, 30972
38852, 30976
38856, 30972
38832, 30992
38852, 30988
38836, 30992
38856, 30960
38868, 30980
38868, 31012
38892, 31000
38884, 31012
38884, 31024
38896, 31012
38912, 30996
38888, 31012
38900, 31000
38916, 31020
38916, 31024
38936, 31020
38932, 31020
38952, 31028
38936, 31016
38960, 31032
38956, 31040
38964, 31032
38980, 31040
38992, 31072
38984, 31040
38996, 31036
38996, 31048
39016, 31064
39000, 31060
39020, 31076
39032, 31068
39036, 31064
39044, 31064
39040, 31088
39068, 31076
39068, 31072
39076, 31080
39084, 31100
39064, 31076
39056, 31072
39032, 31056
39020, 31040
38972, 30992
38948, 31008
38912, 30992
38876, 30968
38872, 30996
38844, 30988
38848, 30980
38840, 30968
38836, 30956
38828, 30956
38800, 30976
38788, 30960
38752, 30952
38768, 30952
38752, 30920
38760, 30928
38736, 30936
38708, 30948
38708, 30932
38716, 30940
38720, 30948
38712, 30928
38736, 30932
38728, 30940
38732, 30948
38724, 30944
38724, 30924
38728, 30936
38724, 30948
38720, 30932
38700, 30936
38716, 30936
38720, 30956
38732, 30932
38684, 30948
38716, 30948
38704, 30940
38716, 30948
38700, 30956
38720, 30952
38720, 30960
38732, 30948
38708, 30976
38740, 30968
38732, 30952
38740, 30976
38740, 30972
38748, 30968
38760, 30976
38764, 30976
38760, 30992
38768, 30984
38780, 31000
38820, 30988
38808, 30992
38812, 31004
38808, 31004
38816, 30996
38820, 30992
38820, 31000
38804, 31004
38852, 31024
38856, 31036
38868, 31020
38860, 31024
38876, 31040
38864, 31028
38876, 31040
38888, 31032
38900, 31052
38904, 31040
38912, 31048
38924, 31036
38928, 31028
38936, 31052
38952, 31048
38952, 31048
38964, 31080
38992, 31072
38964, 31092
38996, 31060
39004, 31064
38984, 31068
38972, 31044
38964, 31044
38920, 31016
38868, 30988
38840, 30996
38824, 30996
38812, 30972
38788, 30980
38768, 30988
38756, 30960
38772, 30988
38732, 30956
38744, 30984
38732, 30976
38728, 30964
38720, 30964
38704, 30956
38704, 30944
38676, 30940
38652, 30920
38664, 30936
38632, 30936
38656, 30944
38652, 30944
38660, 30924
38672, 30928
38644, 30940
38656, 30928
38660, 30928
38644, 30924
38640, 30952
38628, 30940
38636, 30924
38612, 30920
38636, 30916
38604, 30920
38616, 30928
38632, 30932
38616, 30948
38636, 30940
38644, 30944
38660, 30948
38628, 30948
38640, 30952
38652, 30960
38688, 30960
38668, 30964
38672, 30952
38680, 30964
38684, 30976
38692, 30972
38728, 30976
38696, 30976
38712, 30988
38720, 30996
38732, 30984
38740, 30988
38732, 30988
38724, 30980
38732, 30996
38740, 31000
38760, 30988
38756, 31004
38768, 31004
38776, 30996
38784, 31016
38796, 31016
38816, 31036
38828, 31028
38828, 31032
38804, 31028
38824, 31036
38820, 31028
38848, 31020
38856, 31028
38820, 31044
38804, 31016
38796, 30996
38772, 30980
38728, 30956
38712, 30972
38688, 30968
38660, 30968
38640, 30944
38640, 30940
38616, 30948
38616, 30928
38612, 30932
38584, 30916
38572, 30932
38576, 30912
38592, 30904
38568, 30908
38568, 30904
38556, 30908
38528, 30896
38528, 30900
38520, 30896
38528, 30888
38508, 30880
38512, 30896
38512, 30896
38508, 30916
38532, 30892
38528, 30900
38516, 30900
38512, 30880
38512, 30900
38520, 30884
38504, 30888
38520, 30916
38516, 30896
38508, 30904
38524, 30900
38508, 30908
38496, 30924
38528, 30924
38544, 30936
38560, 30928
38532, 30916
38544, 30928
38552, 30916
38556, 30944
38572, 30924
38564, 30948
38608, 30940
38588, 30948
38612, 30960
38608, 30964
38600, 30972
38600, 30984
38624, 30976
38632, 30988
38640, 30976
38636, 30972
38652, 30992
38644, 30976
38664, 30972
38660, 30992
38684, 30976
38700, 31012
38704, 30988
38724, 31004
38728, 31016
38724, 31016
38748, 31008
38756, 31020
38736, 31008
38768, 31020
38772, 31028
38772, 31024
38780, 31028
38792, 31028
38820, 31056
38820, 31040
38836, 31052
38820, 31056
38840, 31040
38820, 31044
38796, 31036
38780, 30996
38748, 31004
38696, 30976
38664, 30976
38648, 30964
38612, 30940
38604, 30936
38624, 30948
38576, 30944
38592, 30924
38548, 30932
38552, 30916
38532, 30912
38516, 30912
38520, 30904
38492, 30904
38464, 30892
38472, 30888
38440, 30884
38452, 30876
38452, 30872
38424, 30868
38416, 30860
38412, 30880
38432, 30876
38428, 30896
38408, 30868
38440, 30864
38412, 30868
38416, 30876
38428, 30868
38404, 30868
38396, 30884
38404, 30864
38396, 30892
38396, 30896
38408, 30880
38416, 30876
38424, 30884
38424, 30876
38432, 30896
38436, 30880
38460, 30892
38460, 30900
38456, 30892
38472, 30908
38496, 30916
38500, 30904
38508, 30900
38520, 30916
38516, 30928
38520, 30928
38524, 30928
38548, 30920
38564, 30956
38560, 30940
38560, 30956
38596, 30948
38580, 30960
38596, 30964
38588, 30956
38612, 30972
38604, 30960
38640, 30964
38640, 30976
38652, 30972
38652, 30964
38668, 30992
38680, 30996
38688, 30988
38680, 30992
38704, 30996
38720, 31020
38740, 31004
38732, 30992
38772, 30996
38764, 31016
38780, 30996
38780, 31024
38788, 31016
38796, 31036
38808, 31016
38804, 31032
38832, 31028
38836, 31044
38852, 31048
38832, 31052
38860, 31048
38840, 31036
38836, 31008
38772, 31000
38744, 30972
38712, 30968
38688, 30964
38640, 30956
38668, 30936
38624, 30932
38608, 30940
38576, 30952
38588, 30936
38564, 30936
38584, 30928
38556, 30920
38568, 30912
38540, 30900
38564, 30904
38492, 30892
38512, 30912
38492, 30908
38508, 30908
38476, 30896
38500, 30912
38492, 30896
38488, 30908
38480, 30900
38484, 30904
38512, 30916
38508, 30896
38492, 30908
38504, 30928
38492, 30916
38488, 30928
38504, 30936
38504, 30912
38496, 30928
38524, 30932
38492, 30924
38484, 30912
38488, 30932
38512, 30916
38504, 30948
38532, 30924
38520, 30936
38544, 30936
38536, 30956
38532, 30968
38560, 30948
38548, 30968
38552, 30968
38584, 30956
38580, 30976
38600, 30968
38596, 30976
38600, 30976
38600, 30992
38612, 30988
38592, 30976
38620, 30996
38600, 30984
38640, 31000
38644, 30988
38676, 31008
38656, 31004
38672, 31016
38688, 31016
38700, 31024
38704, 31036
38712, 31036
38704, 31020
38748, 31056
38736, 31044
38748, 31056
38772, 31048
38772, 31036
38780, 31036
38792, 31076
38796, 31068
38808, 31056
38800, 31048
38792, 31040
38744, 31024
38716, 31024
38684, 31004
38676, 30988
38632, 30976
38620, 30956
38608, 30956
38588, 30956
38592, 30956
38564, 30948
38576, 30976
38588, 30940
38556, 30940
38568, 30952
38548, 30932
38536, 30932
38524, 30928
38536, 30948
38508, 30936
38492, 30936
38488, 30912
38500, 30940
38492, 30940
38504, 30944
38500, 30944
38512, 30948
38504, 30944
38500, 30924
38488, 30928
38516, 30932
38496, 30940
38492, 30924
38504, 30928
38508, 30952
38472, 30948
38496, 30944
38504, 30964
38508, 30944
38536, 30960
38540, 30968
38520, 30972
38548, 30956
38556, 30964
38564, 30992
38544, 30976
38552, 30980
38568, 31000
38588, 30988
38584, 30988
38604, 31020
38600, 31012
38612, 30996
38632, 31008
38644, 31020
38660, 31008
38672, 31032
38660, 31020
38668, 31008
38676, 31024
38696, 31044
38700, 31044
38736, 31060
38716, 31040
38736, 31056
38720, 31064
38760, 31068
38728, 31064
38768, 31060
38788, 31068
38784, 31072
38780, 31064
38788, 31068
38824, 31076
38820, 31080
38832, 31084
38852, 31080
38844, 31088
38856, 31108
38876, 31120
38884, 31096
38840, 31100
38824, 31080
38788, 31060
38740, 31024
38700, 31004
38712, 31000
38644, 31004
38660, 30980
38632, 30992
38628, 30964
38612, 30984
38608, 30984
38592, 30984
38576, 30956
38592, 30980
38568, 30952
38540, 30956
38528, 30964
38524, 30928
38512, 30952
38488, 30948
38496, 30932
38468, 30948
38508, 30952
38464, 30932
38476, 30924
38464, 30936
38500, 30948
38484, 30948
38492, 30960
38480, 30936
38484, 30944
38484, 30952
38492, 30964
38488, 30952
38480, 30948
38472, 30976
38464, 30968
38484, 30964
38480, 30976
38484, 30980
38476, 30980
38508, 30960
38508, 30980
38512, 30992
38528, 30968
38512, 31000
38540, 30992
38552, 31012
38556, 31000
38556, 31016
38568, 31000
38580, 31020
38576, 31012
38596, 31048
38632, 31032
38616, 31052
38632, 31036
38652, 31028
38652, 31044
38640, 31052
38700, 31076
38664, 31072
38688, 31068
38700, 31068
38716, 31092
38724, 31080
38740, 31088
38732, 31092
38736, 31084
38740, 31088
38772, 31128
38768, 31108
38812, 31108
38788, 31140
38800, 31136
38816, 31140
38860, 31128
38852, 31136
38852, 31156
38868, 31136
38880, 31144
38864, 31156
38908, 31148
38900, 31164
38908, 31152
38932, 31164
38920, 31192
38936, 31156
38944, 31160
38916, 31152
38912, 31120
38868, 31096
38824, 31076
38772, 31084
38736, 31048
38724, 31040
38704, 31040
38672, 31032
38636, 31052
38644, 31028
38644, 31036
38652, 31012
38616, 30992
38608, 30988
38592, 30972
38588, 30984
38568, 30980
38556, 30972
38552, 30988
38524, 30976
38520, 30948
38500, 30976
38484, 30956
38484, 30976
38496, 30992
38488, 30964
38496, 30964
38504, 30960
38520, 30984
38516, 30972
38496, 30972
38476, 30964
38488, 30952
38516, 30980
38492, 30984
38504, 30972
38496, 30976
38504, 30976
38496, 30984
38532, 30976
38508, 30984
38528, 30984
38532, 31004
38540, 31008
38572, 30996
38568, 31004
38564, 31004
38572, 31004
38588, 31024
38588, 31004
38592, 30996
38596, 31008
38632, 31020
38640, 31032
38640, 31028
38640, 31028
38656, 31040
38664, 31024
38664, 31036
38684, 31064
38676, 31032
38700, 31064
38708, 31060
38720, 31076
38748, 31052
38744, 31092
38748, 31080
38764, 31084
38752, 31084
38764, 31076
38788, 31080
38772, 31088
38792, 31084
38796, 31084
38804, 31076
38800, 31108
38828, 31080
38844, 31108
38832, 31100
38844, 31112
38864, 31108
38856, 31100
38856, 31084
38816, 31080
38788, 31076
38728, 31048
38688, 31036
38684, 31048
38668, 31020
38628, 31020
38620, 30980
38584, 30984
38600, 30984
38604, 30976
38568, 30968
38564, 30984
38544, 30964
38544, 30976
38548, 30960
38512, 30956
38504, 30960
38484, 30964
38484, 30964
38488, 30980
38484, 30972
38500, 30972
38496, 30972
38492, 30964
38524, 30988
38520, 30980
38496, 30972
38476, 30972
38504, 30976
38516, 30964
38524, 30972
38488, 30988
38484, 30968
38484, 30984
38504, 30972
38484, 30992
38508, 30992
38492, 30980
38532, 30988
38532, 31016
38548, 31000
38548, 30996
38560, 31000
38580, 31012
38580, 31012
38588, 31004
38596, 31016
38592, 31044
38620, 31028
38620, 31036
38620, 31028
38620, 31056
38640, 31032
38660, 31048
38672, 31040
38676, 31060
38692, 31056
38672, 31052
38688, 31056
38716, 31072
38708, 31048
38716, 31088
38748, 31056
38736, 31072
38744, 31064
38760, 31072
38776, 31084
38752, 31108
38796, 31088
38788, 31088
38824, 31108
38832, 31124
38856, 31100
38852, 31112
38856, 31128
38872, 31120
38876, 31124
38892, 31144
38888, 31124
38868, 31108
38848, 31080
38820, 31076
38756, 31056
38708, 31052
38680, 31020
38656, 31020
38632, 31016
38628, 31004
38592, 30996
38584, 31016
38572, 30992
38572, 31000
38560, 30968
38556, 30964
38528, 30964
38520, 30952
38508, 30956
38500, 30972
38476, 30940
38468, 30952
38464, 30948
38444, 30948
38448, 30948
38424, 30944
38452, 30936
38448, 30944
38460, 30944
38456, 30940
38448, 30948
38460, 30932
38452, 30932
38444, 30956
38444, 30928
38428, 30948
38444, 30944
38444, 30940
38444, 30932
38464, 30960
38480, 30964
38452, 30980
38472, 30972
38480, 30968
38488, 30952
38504, 30976
38512, 30984
38536, 30980
38548, 30960
38548, 31000
38556, 30992
38564, 31012
38572, 30992
38588, 31012
38612, 31000
38596, 31008
38640, 31008
38632, 31020
38624, 31012
38632, 31032
38648, 31044
38652, 31052
38672, 31036
38692, 31060
38716, 31048
38720, 31072
38724, 31080
38736, 31084
38740, 31056
38740, 31084
38768, 31092
38784, 31100
38800, 31080
38780, 31092
38824, 31076
38804, 31100
38840, 31100
38828, 31116
38820, 31112
38844, 31128
38876, 31132
38876, 31144
38892, 31152
38888, 31152
38916, 31144
38900, 31148
38896, 31140
38884, 31148
38820, 31104
38780, 31088
38744, 31040
38736, 31056
38684, 31044
38668, 31016
38648, 31012
38632, 31016
38640, 31008
38612, 31024
38608, 31020
38600, 31040
38592, 30984
38560, 30984
38568, 30984
38552, 30976
38552, 30968
38524, 30976
38516, 30956
38508, 30972
38512, 30984
38488, 30980
38500, 30976
38508, 31004
38508, 31008
38488, 31020
38504, 31004
38500, 30984
38512, 30996
38484, 30996
38492, 30976
38508, 31000
38512, 30976
38532, 31000
38520, 30976
38496, 30992
38520, 30996
38512, 31008
38508, 31000
38528, 31004
38508, 30972
38536, 30996
38548, 31004
38552, 31012
38560, 30996
38584, 31012
38588, 31012
38600, 31032
38616, 31024
38620, 31032
38616, 31024
38636, 31048
38668, 31040
38648, 31056
38684, 31036
38668, 31040
38684, 31052
38700, 31080
38700, 31068
38704, 31080
38732, 31072
38716, 31088
38724, 31068
38764, 31072
38780, 31088
38776, 31116
38784, 31088
38784, 31120
38792, 31108
38800, 31108
38824, 31120
38848, 31124
38844, 31116
38860, 31096
38848, 31096
38800, 31076
38784, 31060
38780, 31060
38740, 31036
38720, 31032
38672, 31028
38672, 31024
38656, 31000
38636, 31020
38636, 31016
38652, 31008
38636, 30992
38648, 31012
38652, 30996
38624, 30996
38636, 30992
38616, 30976
38612, 31000
38600, 30968
38620, 30976
38596, 30996
38608, 30968
38588, 31000
38616, 30984
38600, 30992
38620, 30980
38612, 30988
38656, 31016
38636, 31008
38640, 30988
38632, 31000
38648, 31004
38628, 31000
38648, 31000
38636, 30988
38636, 31004
38648, 31004
38652, 31000
38632, 31004
38664, 31012
38656, 31016
38672, 31016
38672, 31024
38680, 31048
38696, 31032
38700, 31032
38712, 31040
38732, 31040
38732, 31056
38744, 31068
38752, 31040
38772, 31064
38752, 31068
38792, 31080
38780, 31060
38804, 31080
38796, 31068
38808, 31080
38820, 31072
38832, 31084
38848, 31084
38860, 31100
38840, 31092
38876, 31116
38868, 31096
38876, 31116
38876, 31120
38900, 31112
38880, 31132
38916, 31104
38900, 31100
38876, 31092
38864, 31080
38824, 31064
38808, 31048
38756, 31044
38744, 31024
38732, 31044
38720, 31048
38720, 31040
38748, 31024
38740, 31008
38728, 31024
38720, 31028
38712, 31004
38728, 31012
38708, 31016
38712, 30988
38684, 30996
38688, 30984
38692, 30984
38696, 30988
38664, 30976
38704, 30984
38696, 30988
38704, 31012
38740, 31012
38724, 31036
38728, 31008
38724, 31028
38708, 31028
38712, 31004
38724, 31008
38720, 31016
38732, 31000
38732, 31000
38708, 31000
38736, 31024
38736, 31028
38736, 31012
38732, 31008
38732, 31028
38760, 31020
38772, 31052
38772, 31024
38772, 31032
38808, 31036
38816, 31044
38784, 31044
38836, 31048
38832, 31056
38832, 31052
38820, 31044
38844, 31048
38856, 31060
38852, 31064
38884, 31060
38872, 31064
38864, 31076
38872, 31068
38872, 31080
38884, 31104
38904, 31064
38908, 31080
38920, 31108
38932, 31096
38924, 31096
38940, 31096
38976, 31104
38964, 31104
38976, 31116
38992, 31112
39008, 31108
39000, 31120
39016, 31104
38988, 31096
38980, 31100
38944, 31088
38928, 31040
38868, 31044
38864, 31052
38840, 31048
38832, 31016
38820, 31028
38804, 31016
38808, 31032
38816, 31028
38804, 31020
38776, 31004
38804, 31020
38812, 31004
38804, 31004
38776, 30984
38780, 30992
38752, 30968
38752, 30992
38760, 30984
38744, 30984
38752, 31000
38788, 30988
38784, 30992
38768, 31000
38804, 31000
38776, 31016
38772, 31004
38808, 31016
38804, 31000
38824, 31012
38804, 31008
38800, 31012
38784, 31000
38792, 31024
38792, 31016
38788, 31004
38828, 31024
38816, 31012
38820, 31012
38836, 31016
38836, 31008
38848, 31012
38836, 31004
38836, 31016
38844, 31020
38860, 31040
38848, 31048
38860, 31040
38864, 31040
38868, 31056
38892, 31044
38904, 31068
38888, 31040
38900, 31060
38916, 31072
38916, 31072
38924, 31068
38940, 31052
38972, 31064
38964, 31056
38980, 31088
38964, 31096
38988, 31084
38976, 31076
38992, 31056
38976, 31088
38988, 31076
39020, 31096
39012, 31088
39036, 31096
39032, 31088
39028, 31124
39048, 31116
39068, 31108
39068, 31124
39076, 31124
39080, 31092
39064, 31112
39044, 31080
39012, 31076
38972, 31040
38928, 31044
38916, 31016
38908, 31028
38888, 31004
38868, 31012
38856, 31012
38856, 31012
38864, 30992
38856, 31020
38844, 31028
38848, 30992
38836, 30988
38860, 31008
38844, 30980
38820, 31004
38836, 30984
38812, 31000
38828, 30980
38832, 31012
38808, 31008
38820, 31008
38844, 31020
38868, 31008
38856, 31000
38852, 31016
38880, 31008
38872, 31008
38860, 31020
38864, 31020
38868, 30988
38860, 31008
38832, 31004
38868, 31012
38856, 30996
38868, 31000
38860, 31000
38864, 31016
38868, 31024
38888, 31028
38868, 31024
38896, 31044
38888, 31008
38880, 31024
38904, 31028
38908, 31048
38908, 31032
38920, 31044
38924, 31020
38920, 31028
38924, 31032
38940, 31056
38936, 31036
38952, 31060
38940, 31024
38940, 31064
38960, 31032
38952, 31064
38964, 31044
38980, 31056
38992, 31056
38976, 31060
38996, 31040
39012, 31068
38996, 31056
39000, 31080
39028, 31068
39020, 31092
39016, 31052
39024, 31068
39004, 31048
38992, 31048
38936, 31008
38952, 31020
38912, 31008
38900, 30984
38900, 30992
38888, 30988
38860, 30976
38872, 31012
38860, 30972
38880, 30992
38868, 30972
38856, 30980
38852, 30976
38848, 30992
38864, 30956
38860, 30988
38836, 30976
38856, 30976
38860, 30980
38856, 31000
38860, 30980
38864, 30988
38852, 30972
38876, 31016
38856, 30984
38868, 31000
38864, 30996
38868, 31004
38868, 30988
38888, 30984
38872, 30984
38884, 31012
38860, 30964
38872, 30972
38900, 30980
38892, 31008
38904, 30996
38900, 30988
38896, 30980
38908, 30992
38932, 31004
38932, 31008
38944, 30992
38924, 31016
38924, 31008
38960, 31020
38944, 31004
38968, 31008
38940, 31004
38944, 31008
38952, 30992
38980, 30996
38956, 31000
38980, 31032
38960, 31020
38972, 31044
38996, 31012
38996, 31016
39000, 31036
39004, 31052
39012, 31032
39040, 31052
38996, 31048
39020, 31056
39028, 31032
39040, 31044
39020, 31028
39012, 31008
38968, 30992
38928, 30996
38928, 30972
38920, 30980
38888, 30948
38904, 30960
38876, 30952
38876, 30956
38880, 30968
38868, 30968
38856, 30944
38852, 30944
38840, 30948
38852, 30952
38844, 30916
38856, 30924
38816, 30944
38816, 30944
38812, 30908
38820, 30924
38812, 30904
38840, 30936
38828, 30912
38844, 30940
38852, 30920
38844, 30912
38856, 30900
38856, 30920
38860, 30912
38864, 30916
38852, 30912
38868, 30936
38844, 30904
38832, 30916
38824, 30896
38868, 30920
38828, 30896
38860, 30904
38852, 30920
38856, 30940
38860, 30908
38876, 30920
38868, 30912
38896, 30944
38860, 30912
38904, 30940
38892, 30932
38888, 30952
38908, 30948
38924, 30936
38920, 30956
38908, 30952
38932, 30972
38936, 30952
38928, 30960
38956, 30964
38932, 30952
38960, 30956
38944, 30960
38972, 30964
38952, 30984
38980, 30968
38972, 30984
38992, 30976
38988, 30984
39008, 30968
38992, 30972
38996, 30968
38988, 30980
39020, 30996
39004, 30988
39020, 30984
39016, 31004
39072, 30992
39048, 31000
39056, 31000
39040, 31028
39072, 31020
39044, 30992
39076, 30992
39048, 30992
39012, 30968
38968, 30952
38948, 30972
38920, 30920
38916, 30916
38908, 30920
38872, 30920
38872, 30904
38868, 30908
38876, 30920
38868, 30900
38852, 30896
38856, 30904
38860, 30884
38856, 30892
38828, 30892
38844, 30880
38796, 30884
38812, 30864
38792, 30888
38796, 30884
38812, 30888
38808, 30888
38808, 30892
38812, 30884
38804, 30892
38844, 30880
38832, 30880
38848, 30888
38844, 30900
38840, 30888
38824, 30876
38824, 30876
38808, 30852
38844, 30876
38820, 30872
38852, 30896
38848, 30872
38836, 30868
38844, 30884
38836, 30880
38868, 30868
38876, 30892
38852, 30876
38884, 30868
38876, 30888
38880, 30872
38852, 30868
